raw_date,tmax,tmin,day_weather,night_weather,wind_dir,wind_power,Tmax,Tmin,Date,Year,Month,Quarter,Tavg,S_temp,S_weather,S_wind,CCI,SI,SI_score,CCI_owci,CCI_level,SI_level,OWCI_level,CCI_9ma,OWCI_9ma
46122,21 ℃,15 ℃,多云,小雨,南风,微风,21.0,15.0,2011-03-30,2011,3,1,18.0,0.7524321560893033,0.8,1.0,75.46128527867558,5.58,69.27312775330397,83.75765075689739,2-较舒适,3-正常,2-较舒适,,
46123,24 ℃,17 ℃,小雨,小雨,北风,微风,24.0,17.0,2011-03-31,2011,3,1,20.5,0.9607894391523232,0.65,1.0,91.31039255808734,3.8800000000000003,78.63436123348018,84.59916030163885,2-较舒适,2-较舒适,1-最舒适,,
46124,25 ℃,18 ℃,多云,多云,北风,微风,25.0,18.0,2011-04-01,2011,4,2,21.5,0.9955654174830928,0.95,1.0,98.76182706977748,3.2,82.37885462555066,87.51943018839621,1-最舒适,2-较舒适,1-最舒适,,
46125,27 ℃,19 ℃,多云,多云,南风,微风,27.0,19.0,2011-04-02,2011,4,2,23.0,0.9823793146181776,0.95,1.0,97.92694170780594,2.18,87.99559471365639,80.72315695315933,1-最舒适,1-最舒适,2-较舒适,,
46126,29 ℃,20 ℃,多云,多云,南风,微风,29.0,20.0,2011-04-03,2011,4,2,24.5,0.8948393168143698,0.95,1.0,89.69809730479176,1.84,89.86784140969164,69.92927954652738,2-较舒适,1-最舒适,3-正常,,
46127,25 ℃,18 ℃,多云,小雨,北风,微风,25.0,18.0,2011-04-04,2011,4,2,21.5,0.9955654174830928,0.8,1.0,95.46166701559649,3.2,82.37885462555066,85.26943018839623,1-最舒适,2-较舒适,1-最舒适,,
46128,24 ℃,18 ℃,中雨,中雨,南风,微风,24.0,18.0,2011-04-05,2011,4,2,21.0,0.9823793146181776,0.45,1.0,88.14704306175643,3.54,80.50660792951541,81.8321260556422,2-较舒适,2-较舒适,2-较舒适,,
46129,21 ℃,16 ℃,小雨,多云,北风,微风,21.0,16.0,2011-04-06,2011,4,2,18.5,0.8043041560655723,0.8,1.0,80.38826208933565,5.24,71.1453744493392,86.04429930080106,2-较舒适,3-正常,1-最舒适,,
46130,30 ℃,16 ℃,晴,晴,北风,微风,30.0,16.0,2011-04-07,2011,4,2,23.0,0.9823793146181776,1.0,1.0,98.2840636428732,2.18,87.99559471365639,74.34014726313757,1-最舒适,1-最舒适,2-较舒适,,
46131,30 ℃,17 ℃,多云,多云,北风,微风,30.0,17.0,2011-04-08,2011,4,2,23.5,0.9607894391523232,0.95,1.0,96.00644228007613,1.84,89.86784140969164,71.790707572132,1-最舒适,1-最舒适,2-较舒适,,
46132,28 ℃,18 ℃,多云,小雨,南风,微风,28.0,18.0,2011-04-09,2011,4,2,23.0,0.9823793146181776,0.8,1.0,95.13965339872009,2.18,87.99559471365639,76.49095095096784,1-最舒适,1-最舒适,2-较舒适,,
46133,24 ℃,18 ℃,阵雨,大雨,南风,微风,24.0,18.0,2011-04-10,2011,4,2,21.0,0.9823793146181776,0.425,1.0,87.67738715467536,3.54,80.50660792951541,81.45712605564222,2-较舒适,2-较舒适,2-较舒适,,
46134,21 ℃,16 ℃,中到大雨,晴,北风,微风,21.0,16.0,2011-04-11,2011,4,2,18.5,0.8043041560655723,0.625,1.0,79.16674106089194,5.24,71.1453744493392,83.41929930080107,2-较舒适,3-正常,2-较舒适,,
46135,29 ℃,17 ℃,晴,晴,北风,微风,29.0,17.0,2011-04-12,2011,4,2,23.0,0.9823793146181776,1.0,1.0,98.2840636428732,2.18,87.99559471365639,77.17294057285442,1-最舒适,1-最舒适,2-较舒适,,
46136,27 ℃,17 ℃,多云,多云,北风,微风,27.0,17.0,2011-04-13,2011,4,2,22.0,1.0,0.95,1.0,98.84268252047063,2.8600000000000003,84.2511013215859,83.37950666263434,1-最舒适,2-较舒适,2-较舒适,,
46137,27 ℃,16 ℃,多云,多云,南风,微风,27.0,16.0,2011-04-14,2011,4,2,21.5,0.9955654174830928,0.95,1.0,98.76182706977748,3.2,82.37885462555066,84.06327888540253,1-最舒适,2-较舒适,2-较舒适,,
46138,30 ℃,20 ℃,多云,多云,南风,微风,30.0,20.0,2011-04-15,2011,4,2,25.0,0.8521437889662113,0.95,1.0,85.57703191357373,2.18,87.99559471365639,64.68443579243109,2-较舒适,1-最舒适,3-正常,,
